krx_isu_cd,company_name,stock_code,market,is_financial_distress,pattern,category,dart_candidate_names
45464,하나29호스팩,454640,코스닥,True,B,1_notation_diff,하나29호기업인수목적
45475,하나28호스팩,454750,코스닥,False,B,0_non_distress,하나28호기업인수목적
45525,KB제25호스팩,455250,코스닥,True,B,1_notation_diff,케이비제25호기업인수목적
45531,한화플러스제4호스팩,455310,코스닥,True,B,1_notation_diff,한화플러스제4호기업인수목적
45591,SK증권제9호스팩,455910,코스닥,True,B,1_notation_diff,에스케이증권제9호기업인수목적
45644,DB금융스팩11호,456440,코스닥,False,B,0_non_distress,디비금융제11호기업인수목적
45649,교보14호스팩,456490,코스닥,True,B,1_notation_diff,교보14호기업인수목적
45670,길교이앤씨,456700,코넥스,False,C,,
45739,대신밸런스제15호스팩,457390,코스닥,False,B,0_non_distress,대신밸런스제15호기업인수목적
45763,대신밸런스제16호스팩,457630,코스닥,True,B,1_notation_diff,대신밸런스제16호기업인수목적
45794,SK증권제10호스팩,457940,코스닥,True,B,1_notation_diff,에스케이증권제10호기업인수목적
45832,KB제26호스팩,458320,코스닥,False,B,0_non_distress,케이비제26호기업인수목적
45861,한국제12호스팩,458610,코스닥,True,B,1_notation_diff,한국제12호기업인수목적
46202,에이치엠씨제6호스팩,462020,코스닥,True,B,1_notation_diff,에이치엠씨아이비제6호기업인수목적
46444,한국제13호스팩,464440,코스닥,True,B,1_notation_diff,한국제13호기업인수목적
46468,KB제27호스팩,464680,코스닥,True,B,1_notation_diff,케이비제27호기업인수목적
46691,엔에이치스팩30호,466910,코스닥,False,B,0_non_distress,엔에이치기업인수목적30호
46851,삼성스팩9호,468510,코스닥,False,B,0_non_distress,삼성기업인수목적9호
47337,비엔케이제2호스팩,473370,코스닥,False,B,0_non_distress,비엔케이제2호기업인수목적
47647,KB제28호스팩,476470,코스닥,False,B,0_non_distress,케이비제28호기업인수목적
47753,한국제14호스팩,477530,코스닥,False,B,0_non_distress,한국제14호기업인수목적
47878,대신밸런스제18호스팩,478780,코스닥,False,B,0_non_distress,대신밸런스제18호기업인수목적
49590,에이엠시지,495900,코넥스,True,C,,
CHN01,중국원양자원,900050,유가증권,True,B,1_notation_diff,중국원양자원유한공사
CYM01,평산차업,950010,유가증권,True,B,1_notation_diff,평산차업집단유한공사
CYM02,3노드디지탈,900010,코스닥,True,B,1_notation_diff,3노드디지탈그룹유한공사
CYM03,코웰이홀딩스,900020,코스닥,True,B,1_notation_diff,코웰이홀딩스유한공사
CYM04,차이나그레이트,900040,코스닥,True,B,1_notation_diff,차이나그레이트스타인터내셔널리미티드
CYM16,골든센츄리,900280,코스닥,True,B,5_unresolved,케이만금세기차륜집단유한공사
HKG01,연합과기,900030,유가증권,True,B,1_notation_diff,연합과기공고유한공사
HKG02,중국식품포장,900060,코스닥,True,B,1_notation_diff,중국식품포장유한공사
HKG03,에스앤씨엔진그룹,900080,코스닥,True,B,1_notation_diff,에스앤씨엔진그룹리미티드
HKG04,차이나하오란,900090,코스닥,True,B,1_notation_diff,차이나하오란리사이클링유한공사
HKG06,성융광전투자,900150,코스닥,True,B,1_notation_diff,성융광전투자유한공사
HKG07,웨이포트,900130,코스닥,True,B,1_notation_diff,웨이포트유한공사
HKG10,완리,900180,코스닥,True,B,1_notation_diff,완리인터내셔널홀딩스
JPN02,네프로아이티,950030,코스닥,True,C,,
JPN06,SBI모기지,950100,유가증권,True,B,5_unresolved,아루히
JPN07,SBI핀테크솔루션즈,950110,코스닥,True,C,,
JPN10,SNK,950180,코스닥,True,B,5_unresolved,에스앤케이
SGP04,중국고섬,950070,유가증권,True,B,1_notation_diff,중국고섬공고유한공사
